method_name,query_file,query_column,query_selectivity,TP,FP,FN,TN,accuracy,precision,recall,f1-score,time,threshold,dataset
cms_earlystopping,fx4z-5xg2.csv,stop_question_frisk_complaint,"high
",0,0,128,59330,0.9978472198863063,0.0,0.0,0.0,33.09153747558594,0.7,nyc_1000_4
cms_minhash,fx4z-5xg2.csv,stop_question_frisk_complaint,"high
",128,2,0,59328,0.9999663628107235,0.9846153846153847,1.0,0.9922480620155039,2.2430291175842285,0.7,nyc_1000_4
cms_minhash_lsh,fx4z-5xg2.csv,stop_question_frisk_complaint,"high
",128,2,0,59328,0.9999663628107235,0.9846153846153847,1.0,0.9922480620155039,0.008252620697021484,0.7,nyc_1000_4
cms,8nqg-ia7v.csv,flag_mc,"high
",24,0,0,59434,1.0,1.0,1.0,1.0,658.0876104831696,0.7,nyc_1000_4
cms_sampling,8nqg-ia7v.csv,flag_mc,"high
",24,3,0,59431,0.9999495442160853,0.8888888888888888,1.0,0.9411764705882353,326.9979610443115,0.7,nyc_1000_4
cms_earlystopping,8nqg-ia7v.csv,flag_mc,"high
",24,0,0,59434,1.0,1.0,1.0,1.0,51.89726758003235,0.7,nyc_1000_4
cms_minhash,8nqg-ia7v.csv,flag_mc,"high
",22,0,2,59434,0.9999663628107235,1.0,0.9166666666666666,0.9565217391304348,2.1978096961975098,0.7,nyc_1000_4
cms_minhash_lsh,8nqg-ia7v.csv,flag_mc,"high
",22,0,2,59434,0.9999663628107235,1.0,0.9166666666666666,0.9565217391304348,0.0032851696014404297,0.7,nyc_1000_4
cms,vc9v-wg6y.csv,ell_arabic,"high
",54,0,0,59404,1.0,1.0,1.0,1.0,657.6594536304474,0.7,nyc_1000_4
cms_sampling,vc9v-wg6y.csv,ell_arabic,"high
",54,5,0,59399,0.9999159070268089,0.9152542372881356,1.0,0.9557522123893806,326.847464799881,0.7,nyc_1000_4
cms_earlystopping,vc9v-wg6y.csv,ell_arabic,"high
",11,0,43,59404,0.999276800430556,1.0,0.2037037037037037,0.3384615384615384,64.24944806098938,0.7,nyc_1000_4
cms_minhash,vc9v-wg6y.csv,ell_arabic,"high
",54,0,0,59404,1.0,1.0,1.0,1.0,2.1711080074310303,0.7,nyc_1000_4
cms_minhash_lsh,vc9v-wg6y.csv,ell_arabic,"high
",54,0,0,59404,1.0,1.0,1.0,1.0,0.00786280632019043,0.7,nyc_1000_4
cms,kg6x-kv5b.csv,10 REMOVALS,"medium
",652,0,0,58806,1.0,1.0,1.0,1.0,656.813054561615,0.7,nyc_1000_4
cms_sampling,kg6x-kv5b.csv,10 REMOVALS,"medium
",652,5,0,58801,0.9999159070268089,0.9923896499238964,1.0,0.9961802902979373,327.4989790916443,0.7,nyc_1000_4
cms_earlystopping,kg6x-kv5b.csv,10 REMOVALS,"medium
",164,0,488,58806,0.9917925258165428,1.0,0.25153374233128833,0.4019607843137255,66.49763464927673,0.7,nyc_1000_4
cms_minhash,kg6x-kv5b.csv,10 REMOVALS,"medium
",652,0,0,58806,1.0,1.0,1.0,1.0,2.3159050941467285,0.7,nyc_1000_4
cms_minhash_lsh,kg6x-kv5b.csv,10 REMOVALS,"medium
",652,0,0,58806,1.0,1.0,1.0,1.0,0.02712082862854004,0.7,nyc_1000_4
cms,x5tk-fa54.csv,year_5_estimate,"high
",3,0,0,59455,1.0,1.0,1.0,1.0,656.8932332992554,0.7,nyc_1000_4
cms_sampling,x5tk-fa54.csv,year_5_estimate,"high
",3,3,0,59452,0.9999495442160853,0.5,1.0,0.6666666666666666,326.0776946544647,0.7,nyc_1000_4
cms_earlystopping,x5tk-fa54.csv,year_5_estimate,"high
",3,0,0,59455,1.0,1.0,1.0,1.0,71.06654524803162,0.7,nyc_1000_4
cms_minhash,x5tk-fa54.csv,year_5_estimate,"high
",3,0,0,59455,1.0,1.0,1.0,1.0,2.2835676670074463,0.7,nyc_1000_4
cms_minhash_lsh,x5tk-fa54.csv,year_5_estimate,"high
",3,0,0,59455,1.0,1.0,1.0,1.0,0.0033998489379882812,0.7,nyc_1000_4
cms,ijzq-5wy8.csv,modes_used_june_bus,"medium
",638,0,0,58820,1.0,1.0,1.0,1.0,658.34357380867,0.7,nyc_1000_4
cms_sampling,ijzq-5wy8.csv,modes_used_june_bus,"medium
",636,949,2,57871,0.9840055164990413,0.40126182965299684,0.9968652037617555,0.5721997300944669,327.08630633354187,0.7,nyc_1000_4
cms_earlystopping,ijzq-5wy8.csv,modes_used_june_bus,"medium
",638,0,0,58820,1.0,1.0,1.0,1.0,69.52659153938293,0.7,nyc_1000_4
cms_minhash,ijzq-5wy8.csv,modes_used_june_bus,"medium
",634,46,4,58774,0.9991590702680884,0.9323529411764706,0.9937304075235109,0.9620637329286797,2.2672555446624756,0.7,nyc_1000_4
