 method_name,query_file,query_column,query_selectivity,TP,FP,FN,TN,accuracy,precision,recall,f1-score,time,threshold,dataset
cms_earlystopping,64pu-zyr2.csv,A36 Intimidating and Bullying Behavior R,"medium
",183,0,787,58488,0.9867637660197114,1.0,0.18865979381443299,0.3174327840416305,142.74870991706848,0.7,nyc_16
cms_minhash,64pu-zyr2.csv,A36 Intimidating and Bullying Behavior R,"medium
",970,0,0,58488,1.0,1.0,1.0,1.0,2.5563173294067383,0.7,nyc_16
cms_minhash_lsh,64pu-zyr2.csv,A36 Intimidating and Bullying Behavior R,"medium
",970,0,0,58488,1.0,1.0,1.0,1.0,0.0635535717010498,0.7,nyc_16
cms,n84m-kx4j.csv,vehicle_engine_horsepower,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,2649.7432522773743,0.7,nyc_16
cms_sampling,n84m-kx4j.csv,vehicle_engine_horsepower,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,1316.399727344513,0.7,nyc_16
cms_earlystopping,n84m-kx4j.csv,vehicle_engine_horsepower,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,134.8912477493286,0.7,nyc_16
cms_minhash,n84m-kx4j.csv,vehicle_engine_horsepower,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,2.4617559909820557,0.7,nyc_16
cms_minhash_lsh,n84m-kx4j.csv,vehicle_engine_horsepower,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,0.000209808349609375,0.7,nyc_16
cms,naib-xtez.csv,a40_taking_property_without,"medium
",501,0,0,58957,1.0,1.0,1.0,1.0,2620.972474336624,0.7,nyc_16
cms_sampling,naib-xtez.csv,a40_taking_property_without,"medium
",501,1,0,58956,0.9999831814053618,0.99800796812749,1.0,0.9990029910269193,1300.7070679664612,0.7,nyc_16
cms_earlystopping,naib-xtez.csv,a40_taking_property_without,"medium
",501,0,0,58957,1.0,1.0,1.0,1.0,185.45446276664734,0.7,nyc_16
cms_minhash,naib-xtez.csv,a40_taking_property_without,"medium
",497,0,4,58957,0.9999327256214471,1.0,0.9920159680638723,0.9959919839679359,2.4542384147644043,0.7,nyc_16
cms_minhash_lsh,naib-xtez.csv,a40_taking_property_without,"medium
",497,0,4,58957,0.9999327256214471,1.0,0.9920159680638723,0.9959919839679359,0.0402982234954834,0.7,nyc_16
cms,2ps2-dsjr.csv,_05_principal,"medium
",502,0,0,58956,1.0,1.0,1.0,1.0,2621.84951543808,0.7,nyc_16
cms_sampling,2ps2-dsjr.csv,_05_principal,"medium
",502,0,0,58956,1.0,1.0,1.0,1.0,1302.3062860965729,0.7,nyc_16
cms_earlystopping,2ps2-dsjr.csv,_05_principal,"medium
",502,0,0,58956,1.0,1.0,1.0,1.0,185.97401070594788,0.7,nyc_16
cms_minhash,2ps2-dsjr.csv,_05_principal,"medium
",501,0,1,58956,0.9999831814053618,1.0,0.99800796812749,0.9990029910269193,2.425105094909668,0.7,nyc_16
cms_minhash_lsh,2ps2-dsjr.csv,_05_principal,"medium
",501,0,1,58956,0.9999831814053618,1.0,0.99800796812749,0.9990029910269193,0.03931069374084473,0.7,nyc_16
cms,disc.csv,A52 Group Violence S,"medium
",652,0,0,58806,1.0,1.0,1.0,1.0,2623.2011568546295,0.7,nyc_16
cms_sampling,disc.csv,A52 Group Violence S,"medium
",652,2,0,58804,0.9999663628107235,0.9969418960244648,1.0,0.9984686064318529,1305.105230808258,0.7,nyc_16
cms_earlystopping,disc.csv,A52 Group Violence S,"medium
",652,0,0,58806,1.0,1.0,1.0,1.0,185.3392894268036,0.7,nyc_16
cms_minhash,disc.csv,A52 Group Violence S,"medium
",652,0,0,58806,1.0,1.0,1.0,1.0,2.574371337890625,0.7,nyc_16
cms_minhash_lsh,disc.csv,A52 Group Violence S,"medium
",652,0,0,58806,1.0,1.0,1.0,1.0,0.04825782775878906,0.7,nyc_16
cms,4nft-bihw.csv,tax_year,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,2649.187257528305,0.7,nyc_16
cms_sampling,4nft-bihw.csv,tax_year,"high
",1,3,0,59454,0.9999495442160853,0.25,1.0,0.4,1316.76109457016,0.7,nyc_16
cms_earlystopping,4nft-bihw.csv,tax_year,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,137.09881162643433,0.7,nyc_16
cms_minhash,4nft-bihw.csv,tax_year,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,2.4341142177581787,0.7,nyc_16
cms_minhash_lsh,4nft-bihw.csv,tax_year,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,0.02483344078063965,0.7,nyc_16
cms,kg6x-kv5b.csv,10 REMOVALS,"medium
",652,0,0,58806,1.0,1.0,1.0,1.0,2624.4033863544464,0.7,nyc_16
