method,query file,query column,query selectivity,accuracy,precision,recall,f1 score,time,time dataset,threshold,dataset name
cms_minhash_lsh,4nft-bihw.csv,tax_year,high,1.0,1.0,1.0,1.0,0.0004823207855224,4241.159135580063,0.7,nyc
cms,268n-a7em.csv,local,high,1.0,1.0,1.0,1.0,704.5048584938049,4231.707838773727,0.7,nyc
cms_sampling,268n-a7em.csv,local,high,1.0,1.0,1.0,1.0,347.4582130908966,4231.707838773727,0.7,nyc
cms_earlystopping,268n-a7em.csv,local,high,1.0,1.0,1.0,1.0,94.53338742256165,4231.707838773727,0.7,nyc
cms_minhash,268n-a7em.csv,local,high,1.0,1.0,1.0,1.0,0.9120442867279052,4231.707838773727,0.7,nyc
cms_minhash_lsh,268n-a7em.csv,local,high,1.0,1.0,1.0,1.0,0.0005972385406494,4231.707838773727,0.7,nyc
cms,iz2q-9x8d.csv,total_est_fee,high,1.0,1.0,1.0,1.0,702.9990422725677,4301.553385972977,0.7,nyc
cms_sampling,iz2q-9x8d.csv,total_est_fee,high,1.0,1.0,1.0,1.0,345.5969407558441,4301.553385972977,0.7,nyc
cms_earlystopping,iz2q-9x8d.csv,total_est_fee,high,1.0,1.0,1.0,1.0,34.991997718811035,4301.553385972977,0.7,nyc
cms_minhash,iz2q-9x8d.csv,total_est_fee,high,1.0,1.0,1.0,1.0,0.9077873229980468,4301.553385972977,0.7,nyc
cms_minhash_lsh,iz2q-9x8d.csv,total_est_fee,high,1.0,1.0,1.0,1.0,0.0002312660217285,4301.553385972977,0.7,nyc
cms,6bqn-qdwq.csv,tnc_mode,high,1.0,1.0,1.0,1.0,705.2303557395935,4323.24830031395,0.7,nyc
cms_sampling,6bqn-qdwq.csv,tnc_mode,high,0.9999831845163026,0.6666666666666666,1.0,0.8,348.9250257015228,4323.24830031395,0.7,nyc
cms_earlystopping,6bqn-qdwq.csv,tnc_mode,high,1.0,1.0,1.0,1.0,35.43110656738281,4323.24830031395,0.7,nyc
cms_minhash,6bqn-qdwq.csv,tnc_mode,high,1.0,1.0,1.0,1.0,0.8620114326477051,4323.24830031395,0.7,nyc
cms_minhash_lsh,6bqn-qdwq.csv,tnc_mode,high,1.0,1.0,1.0,1.0,0.0080997943878173,4323.24830031395,0.7,nyc
cms,x5tk-fa54.csv,year_5_estimate,high,1.0,1.0,1.0,1.0,706.2972400188446,4359.741330623627,0.7,nyc
cms_sampling,x5tk-fa54.csv,year_5_estimate,high,0.9999495535489078,0.5,1.0,0.6666666666666666,347.5073907375336,4359.741330623627,0.7,nyc
cms_earlystopping,x5tk-fa54.csv,year_5_estimate,high,1.0,1.0,1.0,1.0,73.6171658039093,4359.741330623627,0.7,nyc
cms_minhash,x5tk-fa54.csv,year_5_estimate,high,1.0,1.0,1.0,1.0,0.908139705657959,4359.741330623627,0.7,nyc
cms_minhash_lsh,x5tk-fa54.csv,year_5_estimate,high,1.0,1.0,1.0,1.0,0.0215685367584228,4359.741330623627,0.7,nyc
cms,ek6b-5n74.csv,description_of_code,high,1.0,1.0,1.0,1.0,704.8125200271606,4461.298822164536,0.7,nyc
cms_sampling,ek6b-5n74.csv,description_of_code,high,1.0,1.0,1.0,1.0,346.7737984657288,4461.298822164536,0.7,nyc
cms_earlystopping,ek6b-5n74.csv,description_of_code,high,1.0,1.0,1.0,1.0,36.23076391220093,4461.298822164536,0.7,nyc
cms_minhash,ek6b-5n74.csv,description_of_code,high,1.0,1.0,1.0,1.0,0.8728413581848145,4461.298822164536,0.7,nyc
cms_minhash_lsh,ek6b-5n74.csv,description_of_code,high,1.0,1.0,1.0,1.0,0.0003931522369384,4461.298822164536,0.7,nyc
cms,nbun-wekj.csv,municipally_supplied_potable_1,low,0.9999831845163026,0.9991189427312775,1.0,0.999559277214632,704.510534286499,4129.680690288544,0.7,nyc
cms_sampling,nbun-wekj.csv,municipally_supplied_potable_1,low,0.9994955354890784,0.9742268041237112,1.0,0.9869451697127936,349.3549191951752,4129.680690288544,0.7,nyc
cms_earlystopping,nbun-wekj.csv,municipally_supplied_potable_1,low,0.9999831845163026,0.9991189427312775,1.0,0.999559277214632,51.72943353652954,4129.680690288544,0.7,nyc
cms_minhash,nbun-wekj.csv,municipally_supplied_potable_1,low,0.9999495535489078,1.0,0.9973544973544972,0.9986754966887418,0.9548177719116212,4129.680690288544,0.7,nyc
cms_minhash_lsh,nbun-wekj.csv,municipally_supplied_potable_1,low,0.9999495535489078,1.0,0.9973544973544972,0.9986754966887418,0.0285029411315917,4129.680690288544,0.7,nyc
cms,4tys-3tzj.csv,multifamily_housing_number,low,1.0,1.0,1.0,1.0,705.9180507659912,4086.023023843765,0.7,nyc
cms_sampling,4tys-3tzj.csv,multifamily_housing_number,low,0.9997141367771444,0.9852045256744996,1.0,0.9925471284524332,349.6070189476013,4086.023023843765,0.7,nyc
cms_earlystopping,4tys-3tzj.csv,multifamily_housing_number,low,1.0,1.0,1.0,1.0,51.9001452922821,4086.023023843765,0.7,nyc
cms_minhash,4tys-3tzj.csv,multifamily_housing_number,low,0.9998991070978156,1.0,0.9946996466431096,0.9973427812223208,0.8890049457550049,4086.023023843765,0.7,nyc
cms_minhash_lsh,4tys-3tzj.csv,multifamily_housing_number,low,0.9998991070978156,1.0,0.9946996466431096,0.9973427812223208,0.0293242931365966,4086.023023843765,0.7,nyc
cms,wcm8-aq5w.csv,propane_use_kbtu,low,1.0,1.0,1.0,1.0,705.4248933792114,4103.469155550003,0.7,nyc
cms_sampling,wcm8-aq5w.csv,propane_use_kbtu,low,0.9997645832282366,0.987783595113438,1.0,0.993854258121159,349.87242245674133,4103.469155550003,0.7,nyc
cms_earlystopping,wcm8-aq5w.csv,propane_use_kbtu,low,1.0,1.0,1.0,1.0,51.93142890930176,4103.469155550003,0.7,nyc
cms_minhash,wcm8-aq5w.csv,propane_use_kbtu,low,0.9998991070978156,1.0,0.9946996466431096,0.9973427812223208,0.9372339248657228,4103.469155550003,0.7,nyc
cms_minhash_lsh,wcm8-aq5w.csv,propane_use_kbtu,low,0.9998991070978156,1.0,0.9946996466431096,0.9973427812223208,0.0289907455444335,4103.469155550003,0.7,nyc
cms,yr5p-wjer.csv,stadium_closed_gross_floor,low,1.0,1.0,1.0,1.0,703.9372429847717,4133.080967903137,0.7,nyc
cms_sampling,yr5p-wjer.csv,stadium_closed_gross_floor,low,0.9997645832282366,0.987783595113438,1.0,0.993854258121159,349.3849287033081,4133.080967903137,0.7,nyc
cms_earlystopping,yr5p-wjer.csv,stadium_closed_gross_floor,low,1.0,1.0,1.0,1.0,51.92076516151428,4133.080967903137,0.7,nyc
cms_minhash,yr5p-wjer.csv,stadium_closed_gross_floor,low,0.9998991070978156,1.0,0.9946996466431096,0.9973427812223208,0.9231362342834472,4133.080967903137,0.7,nyc
cms_minhash_lsh,yr5p-wjer.csv,stadium_closed_gross_floor,low,0.9998991070978156,1.0,0.9946996466431096,0.9973427812223208,0.0295488834381103,4133.080967903137,0.7,nyc
cms,utpj-74fz.csv,retail_store_number_of_open,low,0.9999831845163026,0.9991289198606272,1.0,0.9995642701525056,704.5522696971893,4133.109464645386,0.7,nyc
cms_sampling,utpj-74fz.csv,retail_store_number_of_open,low,0.9997141367771444,0.9853951890034364,1.0,0.9926438771094764,347.8844096660614,4133.109464645386,0.7,nyc
cms_earlystopping,utpj-74fz.csv,retail_store_number_of_open,low,0.9999831845163026,0.9991289198606272,1.0,0.9995642701525056,51.963175535202026,4133.109464645386,0.7,nyc
cms_minhash,utpj-74fz.csv,retail_store_number_of_open,low,0.9998822916141182,1.0,0.993897122929381,0.9969392216878008,0.8870449066162109,4133.109464645386,0.7,nyc
cms_minhash_lsh,utpj-74fz.csv,retail_store_number_of_open,low,0.9998822916141182,1.0,0.993897122929381,0.9969392216878008,0.028451919555664,4133.109464645386,0.7,nyc
cms,utpj-74fz.csv,percent_of_electricity_that,low,1.0,1.0,1.0,1.0,705.5204842090607,4148.969890594482,0.7,nyc
cms_sampling,utpj-74fz.csv,percent_of_electricity_that,low,0.9995964283912628,0.9892739273927392,0.990909090909091,0.99009083402147,348.9067585468292,4148.969890594482,0.7,nyc
cms_earlystopping,utpj-74fz.csv,percent_of_electricity_that,low,1.0,1.0,1.0,1.0,71.3540096282959,4148.969890594482,0.7,nyc
cms_minhash,utpj-74fz.csv,percent_of_electricity_that,low,0.9997645832282366,0.9925864909390444,0.9958677685950412,0.9942244224422444,0.9169585704803468,4148.969890594482,0.7,nyc
cms_minhash_lsh,utpj-74fz.csv,percent_of_electricity_that,low,0.9997645832282366,0.9925864909390444,0.9958677685950412,0.9942244224422444,0.0403895378112793,4148.969890594482,0.7,nyc
cms,m8p6-tp4b.csv,yrb_rng,low,1.0,1.0,1.0,1.0,703.8871352672577,4271.195341587067,0.7,nyc
cms_sampling,m8p6-tp4b.csv,yrb_rng,low,0.9995459819401704,0.9868312757201646,0.990909090909091,0.9888659793814432,348.7668716907501,4271.195341587067,0.7,nyc
cms_earlystopping,m8p6-tp4b.csv,yrb_rng,low,1.0,1.0,1.0,1.0,71.07792592048645,4271.195341587067,0.7,nyc
cms_minhash,m8p6-tp4b.csv,yrb_rng,low,0.999781398711934,0.9909762100082036,0.9983471074380166,0.9946480032935364,0.8880558013916016,4271.195341587067,0.7,nyc
cms_minhash_lsh,m8p6-tp4b.csv,yrb_rng,low,0.999781398711934,0.9909762100082036,0.9983471074380166,0.9946480032935364,0.0382015705108642,4271.195341587067,0.7,nyc
