method_name,query_file,query_column,query_selectivity,TP,FP,FN,TN,accuracy,precision,recall,f1-score,time,threshold,dataset
cms_earlystopping,r5p4-2qap.csv,18 PRINCIPAL,medium,351,0,797,58321,0.9865980594931814,1.0,0.3057491289198606,0.4683122081387592,163.03461980819702,0.1,nyc
cms_minhash,r5p4-2qap.csv,18 PRINCIPAL,medium,1148,2,0,58319,0.9999663690326053,0.9982608695652174,1.0,0.999129677980853,2.8110716342926025,0.1,nyc
cms_minhash_lsh,r5p4-2qap.csv,18 PRINCIPAL,medium,1148,2,0,58319,0.9999663690326053,0.9982608695652174,1.0,0.999129677980853,0.3078329563140869,0.1,nyc
cms,utpj-74fz.csv,retail_store_number_of_open,low,1396,0,0,58073,1.0,1.0,1.0,1.0,768.4761235713959,0.1,nyc
cms_sampling,utpj-74fz.csv,retail_store_number_of_open,low,1396,17,0,58056,0.9997141367771444,0.9879688605803255,1.0,0.9939480242079031,380.4953200817108,0.1,nyc
cms_earlystopping,utpj-74fz.csv,retail_store_number_of_open,low,1396,0,0,58073,1.0,1.0,1.0,1.0,56.511411905288696,0.1,nyc
cms_minhash,utpj-74fz.csv,retail_store_number_of_open,low,1391,56,5,58017,0.9989742554944593,0.9612992398064962,0.9964183381088825,0.9785437917692578,1.463944435119629,0.1,nyc
cms_minhash_lsh,utpj-74fz.csv,retail_store_number_of_open,low,1391,56,5,58017,0.9989742554944593,0.9612992398064962,0.9964183381088825,0.9785437917692578,0.5442318916320801,0.1,nyc
cms,wcm8-aq5w.csv,propane_use_kbtu,low,1394,5,0,58070,0.9999159225815131,0.9964260185847034,1.0,0.9982098102398854,775.2582623958588,0.1,nyc
cms_sampling,wcm8-aq5w.csv,propane_use_kbtu,low,1394,15,0,58060,0.9997477677445392,0.9893541518807665,1.0,0.9946485907955761,385.3781690597534,0.1,nyc
cms_earlystopping,wcm8-aq5w.csv,propane_use_kbtu,low,1394,0,0,58075,1.0,1.0,1.0,1.0,57.571637868881226,0.1,nyc
cms_minhash,wcm8-aq5w.csv,propane_use_kbtu,low,1382,11,12,58064,0.9996132438749601,0.9921033740129217,0.9913916786226685,0.9917473986365267,1.5097546577453613,0.1,nyc
cms_minhash_lsh,wcm8-aq5w.csv,propane_use_kbtu,low,1382,11,12,58064,0.9996132438749601,0.9921033740129217,0.9913916786226685,0.9917473986365267,0.08714795112609863,0.1,nyc
cms,n84m-kx4j.csv,vehicle_engine_horsepower,high,16,11,0,59442,0.9998150296793287,0.5925925925925926,1.0,0.7441860465116279,766.7353847026825,0.1,nyc
cms_sampling,n84m-kx4j.csv,vehicle_engine_horsepower,high,16,4,0,59449,0.9999327380652104,0.8,1.0,0.888888888888889,380.99797534942627,0.1,nyc
cms_earlystopping,n84m-kx4j.csv,vehicle_engine_horsepower,high,8,10,8,59443,0.999697321293447,0.4444444444444444,0.5,0.47058823529411764,39.087244510650635,0.1,nyc
cms_minhash,n84m-kx4j.csv,vehicle_engine_horsepower,high,16,5,0,59448,0.9999159225815131,0.7619047619047619,1.0,0.8648648648648648,1.505561113357544,0.1,nyc
cms_minhash_lsh,n84m-kx4j.csv,vehicle_engine_horsepower,high,16,5,0,59448,0.9999159225815131,0.7619047619047619,1.0,0.8648648648648648,0.7108941078186035,0.1,nyc
cms,utpj-74fz.csv,percent_of_electricity_that,low,2838,5,0,56626,0.9999159225815131,0.9982412944073162,1.0,0.9991198732617497,772.6867072582245,0.1,nyc
cms_sampling,utpj-74fz.csv,percent_of_electricity_that,low,2832,44,6,56587,0.9991592258151306,0.9847009735744089,0.9978858350951374,0.9912495624781238,383.0897512435913,0.1,nyc
cms_earlystopping,utpj-74fz.csv,percent_of_electricity_that,low,2838,0,0,56631,1.0,1.0,1.0,1.0,78.80094480514526,0.1,nyc
cms_minhash,utpj-74fz.csv,percent_of_electricity_that,low,2795,47,43,56584,0.9984866064672351,0.9834623504574244,0.9848484848484849,0.9841549295774649,1.5570778846740723,0.1,nyc
cms_minhash_lsh,utpj-74fz.csv,percent_of_electricity_that,low,2795,47,43,56584,0.9984866064672351,0.9834623504574244,0.9848484848484849,0.9841549295774649,0.2675938606262207,0.1,nyc
cms,njjd-3gve.csv,q21_r4_c2,low,2814,5,0,56650,0.9999159225815131,0.998226321390564,1.0,0.9991123735132256,772.1276590824127,0.1,nyc
cms_sampling,njjd-3gve.csv,q21_r4_c2,low,2808,46,6,56609,0.9991255948477358,0.9838822704975473,0.997867803837953,0.9908256880733944,383.0893850326538,0.1,nyc
cms_earlystopping,njjd-3gve.csv,q21_r4_c2,low,2814,0,0,56655,1.0,1.0,1.0,1.0,77.8773729801178,0.1,nyc
cms_minhash,njjd-3gve.csv,q21_r4_c2,low,2786,28,28,56627,0.9990583329129462,0.9900497512437811,0.9900497512437811,0.9900497512437811,1.4933011531829834,0.1,nyc
cms_minhash_lsh,njjd-3gve.csv,q21_r4_c2,low,2786,28,28,56627,0.9990583329129462,0.9900497512437811,0.9900497512437811,0.9900497512437811,0.20694255828857422,0.1,nyc
cms,m8p6-tp4b.csv,yrb_rng,low,2814,5,0,56650,0.9999159225815131,0.998226321390564,1.0,0.9991123735132256,788.1125657558441,0.1,nyc
cms_sampling,m8p6-tp4b.csv,yrb_rng,low,2808,46,6,56609,0.9991255948477358,0.9838822704975473,0.997867803837953,0.9908256880733944,391.3065233230591,0.1,nyc
cms_earlystopping,m8p6-tp4b.csv,yrb_rng,low,2814,0,0,56655,1.0,1.0,1.0,1.0,80.17348170280457,0.1,nyc
cms_minhash,m8p6-tp4b.csv,yrb_rng,low,2786,28,28,56627,0.9990583329129462,0.9900497512437811,0.9900497512437811,0.9900497512437811,1.621826410293579,0.1,nyc
cms_minhash_lsh,m8p6-tp4b.csv,yrb_rng,low,2786,28,28,56627,0.9990583329129462,0.9900497512437811,0.9900497512437811,0.9900497512437811,0.3855717182159424,0.1,nyc
cms,4tys-3tzj.csv,multifamily_housing_number,low,1394,5,0,58070,0.9999159225815131,0.9964260185847034,1.0,0.9982098102398854,778.1531465053558,0.1,nyc
cms_sampling,4tys-3tzj.csv,multifamily_housing_number,low,1394,15,0,58060,0.9997477677445392,0.9893541518807665,1.0,0.9946485907955761,386.3869605064392,0.1,nyc
cms_earlystopping,4tys-3tzj.csv,multifamily_housing_number,low,1394,0,0,58075,1.0,1.0,1.0,1.0,58.081148862838745,0.1,nyc
cms_minhash,4tys-3tzj.csv,multifamily_housing_number,low,1382,11,12,58064,0.9996132438749601,0.9921033740129217,0.9913916786226685,0.9917473986365267,1.4477574825286865,0.1,nyc
cms_minhash_lsh,4tys-3tzj.csv,multifamily_housing_number,low,1382,11,12,58064,0.9996132438749601,0.9921033740129217,0.9913916786226685,0.9917473986365267,0.08457684516906738,0.1,nyc
cms,uu87-uz8m.csv,asc_contact_perp,high,270,6,0,59193,0.9998991070978157,0.9782608695652174,1.0,0.989010989010989,1668.17626619339,0.1,nyc
cms_sampling,uu87-uz8m.csv,asc_contact_perp,high,270,40,0,59159,0.9993273806521045,0.8709677419354839,1.0,0.9310344827586207,832.1557605266571,0.1,nyc
cms_earlystopping,uu87-uz8m.csv,asc_contact_perp,high,0,0,270,59199,0.9954598194017051,0.0,0.0,0.0,82.9847161769867,0.1,nyc
cms_minhash,uu87-uz8m.csv,asc_contact_perp,high,249,6,21,59193,0.9995459819401705,0.9764705882352941,0.9222222222222223,0.9485714285714287,1.9923183917999268,0.1,nyc
cms_minhash_lsh,uu87-uz8m.csv,asc_contact_perp,high,249,6,21,59193,0.9995459819401705,0.9764705882352941,0.9222222222222223,0.9485714285714287,0.13168907165527344,0.1,nyc
cms,ek6b-5n74.csv,description_of_code,high,14,0,0,59455,1.0,1.0,1.0,1.0,1670.316670179367,0.1,nyc
cms_sampling,ek6b-5n74.csv,description_of_code,high,14,0,0,59455,1.0,1.0,1.0,1.0,830.3005757331848,0.1,nyc
cms_earlystopping,ek6b-5n74.csv,description_of_code,high,14,0,0,59455,1.0,1.0,1.0,1.0,86.18882060050964,0.1,nyc
cms_minhash,ek6b-5n74.csv,description_of_code,high,14,0,0,59455,1.0,1.0,1.0,1.0,2.63053297996521,0.1,nyc
cms_minhash_lsh,ek6b-5n74.csv,description_of_code,high,14,0,0,59455,1.0,1.0,1.0,1.0,1.3303077220916748,0.1,nyc
cms,jpcp-ic7c.csv,qworktravelcode06,high,555,0,0,58914,1.0,1.0,1.0,1.0,1667.396381855011,0.1,nyc
cms_sampling,jpcp-ic7c.csv,qworktravelcode06,high,552,19,3,58895,0.9996300593586575,0.9667250437828371,0.9945945945945946,0.9804618117229129,832.2896521091461,0.1,nyc
cms_earlystopping,jpcp-ic7c.csv,qworktravelcode06,high,0,0,555,58914,0.9906674065479494,0.0,0.0,0.0,82.80588889122009,0.1,nyc
cms_minhash,jpcp-ic7c.csv,qworktravelcode06,high,555,46,0,58868,0.9992264877499202,0.9234608985024958,1.0,0.9602076124567474,2.4540388584136963,0.1,nyc
cms_minhash_lsh,jpcp-ic7c.csv,qworktravelcode06,high,555,46,0,58868,0.9992264877499202,0.9234608985024958,1.0,0.9602076124567474,0.30119776725769043,0.1,nyc
